temperature_keV,density_requested_g_cm3,density_used_g_cm3,density_was_clipped,rosseland_cm2_g,planck_cm2_g,free_electrons,avg_sq_free_electrons
0.0025,0.00050941,0.00050941,false,57733,512670,0.53197,0.53197
0.0025,0.00059948,0.00059948,false,60337,522880,0.52024,0.52024
0.0025,0.00070548,0.00070548,false,63377,534890,0.50644,0.50644
0.0025,0.00083022,0.00083022,false,66926,549020,0.4902,0.4902
0.0025,0.00097701,0.00097701,false,71069,565660,0.47108,0.47108
0.0025,0.0011498,0.0011498,false,75910,585250,0.44859,0.44859
0.0025,0.001353,0.001353,false,81566,608300,0.42212,0.42212
0.0025,0.0015923,0.0015923,false,88178,635450,0.39097,0.39097
0.0025,0.0018738,0.0018738,false,95914,667420,0.35431,0.35431
0.0025,0.0022051,0.0022051,false,99514,670700,0.34536,0.34536
0.0025,0.002595,0.002595,false,103340,672110,0.33725,0.33725
0.0025,0.0030539,0.0030539,false,107830,673780,0.32771,0.32771
0.0025,0.0035938,0.0035938,false,113070,675740,0.31648,0.31648
0.0025,0.0042292,0.0042292,false,119200,678050,0.30326,0.30326
0.0025,0.004977,0.004977,false,126370,680770,0.2877,0.2877
